ParsedDate,States,Regions,Actual,Predicted,Absolute_Error,Percentage_Error
2020-05-13,Assam,NER,21.9,23.645119,1.7451187133789077,7.968578599903689
2020-05-14,Assam,NER,21.8,22.988544,1.1885444641113274,5.452038826198749
2020-05-15,Assam,NER,23.0,22.252802,0.7471981048583984,3.248687412427819
2020-05-16,Assam,NER,25.0,23.22785,1.7721500396728516,7.088600158691406
2020-05-17,Assam,NER,22.4,25.54946,3.1494594573974624,14.06008686338153
2020-05-18,Assam,NER,22.3,23.490396,1.1903964996337884,5.338100895218782
2020-05-19,Assam,NER,22.7,23.4574,0.7573993682861335,3.3365610937715133
2020-05-20,Assam,NER,22.8,23.383244,0.5832435607910149,2.558085792943048
2020-05-21,Assam,NER,23.9,23.396385,0.5036148071289048,2.1071749252255434
2020-05-22,Assam,NER,23.0,23.913843,0.9138431549072266,3.9732311082922895
2020-05-23,Assam,NER,20.9,23.321363,2.421363449096681,11.58547104830948
2020-06-01,Assam,NER,23.4,23.01463,0.3853706359863267,1.646883059770627
2020-06-02,Assam,NER,22.0,23.580236,1.5802364349365234,7.1828928860751065
2020-06-03,Assam,NER,22.2,22.7724,0.5723999023437507,2.5783779384853633
2020-06-04,Assam,NER,21.5,23.395977,1.8959770202636719,8.81849776866824
2020-06-05,Assam,NER,22.6,22.448175,0.15182456970214986,0.6717901314254417
2020-07-01,Assam,NER,21.5,23.449802,1.9498023986816406,9.068848365961118
2020-07-02,Assam,NER,21.1,22.864172,1.764171981811522,8.361004653135176
2020-07-03,Assam,NER,35.5,22.539948,12.960052490234375,36.50719011333627
2020-07-04,Assam,NER,36.1,33.357437,2.742562866210939,7.597127053215896
2020-07-05,Assam,NER,34.0,34.932373,0.932373046875,2.7422736672794117
2020-08-01,Assam,NER,33.3,33.678272,0.37827224731445597,1.1359526946380059
2020-08-02,Assam,NER,35.2,31.924847,3.275153350830081,9.304412928494548
2020-08-03,Assam,NER,36.0,33.82949,2.1705093383789062,6.029192606608072
2020-08-04,Assam,NER,33.3,33.77588,0.47587890625000284,1.4290657845345434
2020-08-05,Assam,NER,22.5,31.52522,9.02522087097168,40.11209275987413
2020-09-01,Assam,NER,20.3,24.376204,4.076203536987304,20.0798203792478
2020-09-02,Assam,NER,21.3,21.005865,0.2941349029541023,1.380915037343203
2020-09-03,Assam,NER,22.5,22.026846,0.47315406799316406,2.1029069688585067
2020-09-04,Assam,NER,22.5,22.631098,0.13109779357910156,0.5826568603515625
2020-09-05,Assam,NER,22.2,22.631098,0.4310977935791023,1.9418819530590194
2020-10-01,Assam,NER,21.0,23.198736,2.1987361907958984,10.470172337123326
2020-10-02,Assam,NER,33.0,22.590483,10.409517288208008,31.54399178244851
2020-10-03,Assam,NER,31.7,31.352154,0.3478462219238274,1.0973066937660172
2020-10-04,Assam,NER,30.9,30.448097,0.45190277099609233,1.4624685145504608
2020-10-05,Assam,NER,35.0,29.531565,5.468435287475586,15.624100821358816
2020-11-01,Assam,NER,34.0,32.096226,1.9037742614746094,5.5993360631606155
2020-11-02,Assam,NER,30.9,33.042076,2.142076110839845,6.932285148349014
2020-11-03,Assam,NER,26.8,29.337458,2.537457656860351,9.468125585299816
2020-11-04,Assam,NER,18.0,25.667368,7.667367935180664,42.59648852878147
2020-11-05,Assam,NER,19.8,19.512281,0.287718582153321,1.4531241522895
2020-12-01,Assam,NER,20.4,20.439445,0.03944549560547017,0.19336027257583419
2020-12-02,Assam,NER,23.3,20.765284,2.534716415405274,10.878611224915339
2020-12-03,Assam,NER,21.7,22.94301,1.243010330200196,5.728158203687539
2020-12-04,Assam,NER,24.2,22.824776,1.375224304199218,5.682745058674455
2020-12-05,Assam,NER,20.3,24.11083,3.8108303070068352,18.77256308870362
2020-02-28,Bihar,ER,106.1,102.07042,4.029580688476557,3.797908283201279
2020-02-29,Bihar,ER,105.7,106.005264,0.30526428222655966,0.288802537584257
2020-03-01,Bihar,ER,80.1,101.35136,21.251356506347662,26.531031843130666
2020-03-02,Bihar,ER,79.7,79.894066,0.1940658569335909,0.2434954290258355
2020-03-03,Bihar,ER,79.5,79.679405,0.17940521240234375,0.22566693383942613
2020-03-04,Bihar,ER,70.5,80.947395,10.447395324707031,14.81900046057735
2020-03-05,Bihar,ER,80.2,73.18122,7.018778991699222,8.751594752742172
2020-03-13,Bihar,ER,79.9,76.62172,3.278280639648443,4.1029795239655105
2020-03-14,Bihar,ER,82.1,78.27793,3.822068786621088,4.655382200512896
2020-03-15,Bihar,ER,107.8,82.011215,25.78878479003906,23.92280592768002
2020-03-16,Bihar,ER,101.6,102.30218,0.7021774291992244,0.6911195169283705
2020-03-17,Bihar,ER,83.7,97.77398,14.073979187011716,16.81478994864004
