ParsedDate,States,Actual,Predicted,Residual,Absolute_Error
2020-05-01,Tamil Nadu,337.3,331.04053,6.259472656250011,6.259472656250011
2020-05-02,Tamil Nadu,312.0,321.27173,-9.271728515625,9.271728515625
2020-05-03,Tamil Nadu,250.0,309.2075,-59.207489013671875,59.207489013671875
2020-05-04,Tamil Nadu,263.3,263.4237,-0.12370605468748863,0.12370605468748863
2020-05-05,Tamil Nadu,271.8,280.5471,-8.747088623046864,8.747088623046864
2020-05-13,Tamil Nadu,279.6,285.2993,-5.699285888671852,5.699285888671852
2020-05-14,Tamil Nadu,281.7,284.3416,-2.6416137695312614,2.6416137695312614
2020-05-15,Tamil Nadu,288.1,278.93152,9.168481445312523,9.168481445312523
2020-05-16,Tamil Nadu,292.4,280.0573,12.342687988281227,12.342687988281227
2020-05-17,Tamil Nadu,298.9,284.86768,14.032324218749977,14.032324218749977
2020-05-18,Tamil Nadu,311.3,300.4665,10.833508300781261,10.833508300781261
2020-05-19,Tamil Nadu,311.0,313.306,-2.305999755859375,2.305999755859375
2020-05-20,Tamil Nadu,312.9,313.23184,-0.33184204101564774,0.33184204101564774
2020-05-21,Tamil Nadu,314.7,314.22043,0.47957153320311363,0.47957153320311363
2020-05-22,Tamil Nadu,314.6,314.4111,0.18889770507814774,0.18889770507814774
2020-05-23,Tamil Nadu,295.9,314.26895,-18.368951416015648,18.368951416015648
2020-06-01,Tamil Nadu,230.6,296.35165,-65.75165405273438,65.75165405273438
2020-06-02,Tamil Nadu,242.5,261.64874,-19.14874267578125,19.14874267578125
2020-06-03,Tamil Nadu,251.7,256.19006,-4.490063476562511,4.490063476562511
2020-06-04,Tamil Nadu,254.2,262.5172,-8.317211914062511,8.317211914062511
2020-06-05,Tamil Nadu,257.7,260.90665,-3.2066467285156364,3.2066467285156364
2020-07-01,Tamil Nadu,250.4,261.83072,-11.43071899414062,11.43071899414062
2020-07-02,Tamil Nadu,229.0,260.5384,-31.53839111328125,31.53839111328125
2020-07-03,Tamil Nadu,276.8,265.0577,11.742291259765636,11.742291259765636
2020-07-04,Tamil Nadu,286.3,276.56497,9.735028076171886,9.735028076171886
2020-07-05,Tamil Nadu,291.3,279.32184,11.978161621093761,11.978161621093761
2020-08-01,Tamil Nadu,296.9,278.34708,18.552923583984352,18.552923583984352
2020-08-02,Tamil Nadu,303.7,296.07925,7.620745849609364,7.620745849609364
2020-08-03,Tamil Nadu,307.3,297.74496,9.555035400390636,9.555035400390636
2020-08-04,Tamil Nadu,290.2,308.4622,-18.262188720703136,18.262188720703136
2020-08-05,Tamil Nadu,323.0,284.83972,38.1602783203125,38.1602783203125
2020-09-01,Tamil Nadu,334.0,314.98117,19.018829345703125,19.018829345703125
2020-09-02,Tamil Nadu,337.3,324.36124,12.938763427734386,12.938763427734386
2020-09-03,Tamil Nadu,336.3,325.56302,10.736981201171886,10.736981201171886
2020-09-04,Tamil Nadu,339.7,323.68726,16.01274414062499,16.01274414062499
2020-09-05,Tamil Nadu,332.2,335.12277,-2.9227722167968864,2.9227722167968864
2020-10-01,Tamil Nadu,309.7,319.77936,-10.079357910156261,10.079357910156261
2020-10-02,Tamil Nadu,334.9,310.50928,24.390722656249977,24.390722656249977
2020-10-03,Tamil Nadu,339.7,325.2715,14.428485107421864,14.428485107421864
2020-10-04,Tamil Nadu,342.8,336.32516,6.474835205078136,6.474835205078136
2020-10-05,Tamil Nadu,346.7,335.02835,11.671649169921864,11.671649169921864
2020-11-01,Tamil Nadu,347.2,335.57623,11.623767089843739,11.623767089843739
2020-11-02,Tamil Nadu,336.3,335.1154,1.1846130371093864,1.1846130371093864
2020-11-03,Tamil Nadu,317.2,322.2,-5.000012207031261,5.000012207031261
2020-11-04,Tamil Nadu,342.7,319.57898,23.12102050781249,23.12102050781249
2020-11-05,Tamil Nadu,350.4,335.27686,15.123144531249977,15.123144531249977
2020-12-01,Tamil Nadu,357.3,346.57144,10.728558349609386,10.728558349609386
2020-12-02,Tamil Nadu,356.9,342.44193,14.458074951171852,14.458074951171852
2020-12-03,Tamil Nadu,355.1,342.38452,12.715478515625023,12.715478515625023
2020-12-04,Tamil Nadu,353.5,344.68857,8.811431884765625,8.811431884765625
2020-12-05,Tamil Nadu,323.7,344.68857,-20.988568115234386,20.988568115234386
2020-02-28,Telangana,167.0,175.59674,-8.59674072265625,8.59674072265625
2020-02-29,Telangana,154.8,173.9571,-19.1571075439453,19.1571075439453
